"Comune";"Provincia";"Regione";"Nome";"Anno inserimento";"Data e ora inserimento";"Identificatore in OpenStreetMap";"Longitudine";"Latitudine";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-01-25T22:04:23Z";"3050568434";"9.0326809";"45.8328510999999";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-01-25T22:04:24Z";"3050580600";"9.03019469999999";"45.8339229999999";
"ALTRO";"ALTRO";"ALTRO";"";"2015";"2015-11-04T23:26:55Z";"3050568438";"9.03228949999999";"45.8328325";
"ALTRO";"ALTRO";"ALTRO";"Dubini";"2015";"2015-01-25T14:18:32Z";"3050568447";"9.0324022";"45.8327926999999";
"Alpignano";"TORINO";"Piemonte";"";"2014";"2014-08-29T12:26:21Z";"3048873354";"7.5176894";"45.107959";
"Alpignano";"TORINO";"Piemonte";"";"2014";"2014-10-02T13:34:35Z";"3107110588";"7.5254873";"45.1004380999999";
"Alpignano";"TORINO";"Piemonte";"";"2014";"2014-10-06T11:31:39Z";"3114652508";"7.5338023";"45.10183";
"Avigliana";"TORINO";"Piemonte";"";"2015";"2015-02-25T10:26:14Z";"3371509968";"7.4018014";"45.0795764";
"Avigliana";"TORINO";"Piemonte";"";"2015";"2015-02-25T10:26:15Z";"3371509974";"7.3961464";"45.0769294999999";
"Bardonecchia";"TORINO";"Piemonte";"";"2015";"2015-08-25T18:02:12Z";"3700735133";"6.7031563";"45.078772";
"Buttigliera Alta";"TORINO";"Piemonte";"";"2015";"2015-02-25T10:26:15Z";"3371509985";"7.4284711";"45.0833857";
"Cavour";"TORINO";"Piemonte";"";"2015";"2015-11-16T10:22:59Z";"3838687089";"7.3743765";"44.7844586";
"Cesana Torinese";"TORINO";"Piemonte";"";"2015";"2015-01-07T10:48:38Z";"3274285889";"6.7916191";"44.9522282";
"Chiusa di San Michele";"TORINO";"Piemonte";"";"2015";"2015-10-03T08:27:49Z";"3769182598";"7.3262009";"45.1025595999999";
"Chivasso";"TORINO";"Piemonte";"";"2015";"2015-03-27T10:00:23Z";"3421267334";"7.8895341";"45.19333";
"Chivasso";"TORINO";"Piemonte";"Tabaccheria Cerato";"2013";"2013-12-09T14:53:44Z";"2573104025";"7.9328456";"45.1984832999999";
"Coazze";"TORINO";"Piemonte";"Abbigliamento Tabacchi";"2016";"2016-02-14T00:50:21Z";"4004982350";"7.2953844";"45.0518544999999";
"Coazze";"TORINO";"Piemonte";"Tabacchi 24h";"2016";"2016-02-12T12:30:38Z";"4001704087";"7.3031643";"45.0519358999999";
"Collegno";"TORINO";"Piemonte";"";"2013";"2013-04-15T18:00:16Z";"2268495342";"7.5586206";"45.0722337999999";
"Condove";"TORINO";"Piemonte";"";"2015";"2015-06-12T20:28:57Z";"3590664394";"7.3098218";"45.1151113";
"Feletto";"TORINO";"Piemonte";"";"2012";"2012-11-29T06:56:33Z";"2039524689";"7.7463912";"45.304929";
"Ivrea";"TORINO";"Piemonte";"";"2012";"2012-10-12T08:31:23Z";"1892958982";"7.8777235";"45.4701749";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-01-26T10:46:31Z";"2638040703";"7.8711228";"45.4641817999999";
"Ivrea";"TORINO";"Piemonte";"";"2014";"2014-09-05T12:41:20Z";"3057457110";"7.8698888";"45.4575621999999";
"Ivrea";"TORINO";"Piemonte";"";"2015";"2015-04-04T15:05:00Z";"2630659027";"7.8787702";"45.4519896999999";
"Ivrea";"TORINO";"Piemonte";"Giordano";"2012";"2012-10-12T08:31:22Z";"1892958205";"7.880352";"45.4676539";
"Luserna San Giovanni";"TORINO";"Piemonte";"Tabaccheria Donalisio Andrea";"2015";"2015-04-04T15:05:00Z";"2116443876";"7.2463167";"44.8139593";
"Novalesa";"TORINO";"Piemonte";"";"2014";"2014-09-26T20:09:14Z";"3097721433";"7.0147915";"45.1911638999999";
"Perosa Canavese";"TORINO";"Piemonte";"";"2015";"2015-04-04T15:04:59Z";"2897288932";"7.8300748";"45.3987178";
"Perrero";"TORINO";"Piemonte";"";"2015";"2015-06-07T19:07:36Z";"3579021253";"7.1136489";"44.9384556999999";
"Pianezza";"TORINO";"Piemonte";"";"2014";"2014-08-29T12:40:23Z";"3048893615";"7.5474477";"45.1001930999999";
"Pianezza";"TORINO";"Piemonte";"";"2014";"2014-09-22T15:47:23Z";"3090861999";"7.5482235";"45.102907";
"Pianezza";"TORINO";"Piemonte";"";"2014";"2014-09-23T09:18:19Z";"3092115534";"7.5479233";"45.098668";
"Rivalta di Torino";"TORINO";"Piemonte";"Prabernasca Cafè";"2013";"2013-02-21T20:07:57Z";"2165874781";"7.5022615";"45.0137806999999";
"Rivarolo Canavese";"TORINO";"Piemonte";"";"2012";"2012-10-25T20:58:34Z";"1983554052";"7.7249058";"45.3326917999999";
"Rivarolo Canavese";"TORINO";"Piemonte";"";"2012";"2012-10-28T21:37:17Z";"1981881837";"7.7228208";"45.3322883";
"Rivarolo Canavese";"TORINO";"Piemonte";"";"2012";"2012-10-28T22:08:38Z";"1987726101";"7.717008";"45.3313162";
"Rivarolo Canavese";"TORINO";"Piemonte";"";"2013";"2013-09-24T21:15:14Z";"1981324548";"7.7235112";"45.3313982";
"Rivoli";"TORINO";"Piemonte";"";"2014";"2014-11-07T10:52:54Z";"3172044659";"7.5443313";"45.0716182";
