Nome;ATTO;Gazzetta ufficiale UE;
Asparago Bianco di Cimadolmo;Reg. CE n. 245 del 08/02/2002;L. 39 del 09/02/2002;
Asparago di Badoere;Reg. UE n. 923 del 14/10/2010;L. 271 del 15/10/2010;
Ciliegia di Marostica;Reg. CE n. 245 del 08/02/2002;L. 39 del 09/02/2002;
Cotechino Modena;Reg. CE n. 590 del 18/03/1999;L. 74 del 19/03/1999;
Fagiolo di Lamon;Reg. CE n. 1263 del 01/07/1996;L. 163 del 02/07/1996;
Insalata di Lusia;Reg. CE n. 1137 del 25/11/2009;L. 311 del 26/11/2009;
Marrone del Monfenera;Reg. CE n. 1132 del 24/11/2009;L. 310 del 25/11/2009;
Marrone di Combai;Reg. CE n. 1180 del 30/11/2009;L. 317 del 03/12/2009;
Mortadella  Bologna;Reg CE n. 1549 del 17/07/1998;L. 202 del 17/07/1998;
Pesca di Verona;Reg. CE n. 30 del 14/01/2010;L. 10 del 15/01/2010;
Radicchio di Chioggia;Reg. CE n. 1025 del 17/10/2008;L. 277 del 18/10/2008;
Radicchio di Verona;Reg. CE n. 98 del 02/02/2009;L. 33 del 03/02/2009;
Radicchio Rosso di Treviso Precoce;Reg. CE n. 1263 del 01/07/1996;L. 163 del 02/07/1996;
Radicchio Rosso di Treviso Tardivo;Reg. CE n. 1263 del 01/07/1996;L. 163 del 02/07/1996;
Radicchio Variegato di Castelfranco;Reg. CE n. 1263 del 01/07/1996;L. 163 del 02/07/1996;
Riso del Delta del Po;Reg. CE n. 1078 del 10/11/2009;L. 294 del 11/11/2009;
Riso Nano Vialone Veronese;Reg. CE n. 1263 del 01/07/1996;L. 163 del 02/07/1996;
Salame Cremona;Reg. CE n. 1362 del 22/11/2007;L. 305 del 23/11/2007;
Zampone Modena;Reg. CE n.1107 del 01/07/1996;L. 168 del 02/07/1996;
